SyncWithServer,"Synchronizing with server, please wait..."
RescueIsComing,A rescue maid is coming...
OnlinePlayers,Online Members:
IntroductionClass,Introduction Class
MaidQuarters,Maid Quarters
ShibariDojo,Shibari Dojo
KidnapLeague,Kidnappers League
PrivateRoom,Private Room
ClubManagement,Club Management
SearchSarah,Search for Sarah
ExploreClub,Explore the Club
ChatRooms,Online Chat Rooms
Shop,Club Shop
Profile,Your Profile
Appearance,Change Appearance
Cell,Timer Cell
SlaveMarket,Slave Market
LookForTrouble,Look for Trouble
Asylum,Asylum
College,Visit the College
Exit,Leave the Club
SarahBedroom,Sarah's Bedroom
Gambling,Gambling by git4nick
Prison,Prison by git4nick
Photographic,Photographic by git4nick
Stable,Stable by git4nick
Nursery,The Nursery by wildsj
Magic,Houdini's Theater by git4nick
Cafe,Cafe by wildsj
Tip0,This game is for adults only.  Minors must leave immediately.
Tip1,"All game characters are considered adults, no exceptions."
Tip2,Please be courteous and polite and help new members to get started.
Tip3,Please be careful when using the console to cheat. It can irrevocably break your account.
Tip4,"Have an open mind, your fetishes might be different from others'."
Tip5,Be careful when following a player's web link as it could get you a virus or steal your account.
Tip6,Respect other player's limits.  Enforce your own limits.
Tip7,Be careful not attempt anything that could harm you in your real life.
Tip8,Forgotten friends in your private room could get bored and leave.
Tip9,"If you find bugs or exploits, please report them and give details."
Tip10,Take good care of each other's feelings and your submissives.
Tip11,Be careful when you supplyreveal real-life information about yourself.
Tip12,A collared college girl can be convinced to give you her uniform.
Tip13,It's easier to destroy a reputation than to build one.
Tip14,There's no best way to make money.  How about a job you enjoy?
Tip15,Getting a lover is an awesome feature you can already look forward too.
Tip16,Please don't use console commands to grief other players.
Tip17,Be carefuly when using beta items since they will be lost if you go back to the regular version.
Tip18,You can blacklist players and set your item preferences to protect yourself.
Tip19,"Contact us on Discord, DeviantArt or Patreon if you need help."
