Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,"Oui, c'est mon premier jour ici.",Bienvenue alors!  Je suis Amanda.,10,0,0,
0,0,0,,"Oui, un premier jour dans une nouvelle|école est toujours effrayant.","Ça va aller.  Je suis Amanda, bienvenue.",10,0,-1,
0,0,0,,T'as l'air d'être|l'animal de compagnie de la prof.,"Huuuum... Enfin...  Je...|Je suis Amanda, bienvenue.",10,-1,1,
0,0,0,,De quoi tu t'occupes?,"Oh!  C'est sans arrières pensées.  Je suis Amanda, bienvenue.",10,-1,0,
0,0,0,SidneyInBondage,Je pense que tu devrais toi aussi|avoir l'air adorable ligotée.,"(Elle rougie.)|Tu penses?  Je suis Amanda, Enchantée.",10,0,1,
0,0,0,SidneyInBondage,Tu ferais mieux de bien te comporter|ou tu finiras comme elle.,"Oui, oui, bien évidemment.  Je suis Amanda.|(Elle baisse la tête et regarde le sol.)",10,-1,2,
10,0,0,,Informe moi sur ce lycée.,Il a été construit il y a un un siècle par des nones.|Aujourd'hui il est reconnu comme lycée pour filles.,20,0,0,
10,0,0,,Quel cours avons nous|ce matin?,Math!  Mon préféré!  Attends de rencontrer notre professeur.,20,0,0,
10,0,0,,J'ai entendu de très bonne choses|sur cette établissement.,"Tu as bien entendu, cet endroit est merveilleux.",20,1,0,
10,0,0,,J'espère que ça va être un cours|rapide qu'on puisse se casser.,Je doute que ce soit une attitude adaptée.,20,-1,0,
20,0,0,,J'aime bien tes cheveux.,"(Elle rit et rougit.)|T'es sympa, maintenant prépare toi, le cours va bientôt commencer.",30,1,0,
20,0,0,,Tu as l'air fasciné par|cette école débile.,Mmh (Elle se retourne et arrête de parler),50,-1,0,
20,0,0,,"Ne prépare rien pour le|déjeuner, je te l'offre.",Vraiment?  (rires)|Concentrons nous sur le cours maintenant.,30,0,1,
20,0,0,,Pourrais tu me présenter les environs|après le cours?,Je le ferai peut-être.|Mais avant, prépare toi pour le cours.,30,0,-1,
30,0,0,,"Oui, concentrons|nous sur les cours du jour.",Well said.,50,1,0,
30,0,0,,"Les cours, les cours, les cours.|Tu gaves.",Oh!  Désolé.  (Elle se retourne et arrête de parler),50,-1,0,
30,1,0,,"Attention, la fille aux cheveux noirs|te fixe.","Oh seigneur!  Merci de m'avertir.|C'est la première fois que je vois son sac, Je me demande ce qu'il y a dedans.",40,1,0,
40,1,0,,"Ne t'en fait pas, si elle pose|problème, Je te protègerai.",Tu le ferais?  C'est super!|Mais concentrons sur les cours pour l'instant.,50,0,1,
