Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Je voulais juste|me présenter.,"Mmmh, salut, je suis Sidney.|(Elle se retourne et regarde l'autre fille)",10,0,0,
0,0,0,,"Gamine, t'es toujours aussi|dure avec les étrangers?","Je pense pas, désolé pour ça, je suis Sidney.|(Elle se retourne et regarde l'autre fille)",10,0,1,
0,0,0,,"S'il te plaît te fâche pas contre|moi, je suis nouvelle ici.","Nouvelle et pathétique, Tu survivras pas un jour.|(Elle se retourne et regarde l'autre fille)",10,-1,-1,
0,0,0,,"Tu as l'air plutôt solide,|Enchanté de te rencontrer.","Oui!  Je suis la plus forte ici, je suis Sidney.|(Elle se retourne et regarde l'autre fille)",10,1,0,
0,0,0,,Quelle attitude de merde!,Tu ferais mieux de la fermer si tu veux pas que je te casse le nez.|(Elle se retourne et regarde l'autre fille),10,-2,0,
0,0,0,AmandaInBondage,"Ouaip, les intellos sauront|qui donne les règles ici.","Putain ouais!  Je suis Sidney, enchanté de te rencontrer.",20,2,0,
0,0,0,AmandaInBondage,"Si tu ne veux pas finir|comme elle, tu ferais mieux d'obéir.","(Elle baisse les yeux et reste silencieuses quelques secondes.)|Ouais, tant que cette intello se fait punir c'est cool.",20,0,2,
10,0,0,,Quelque chose ne va pas?,"Oui, c'est cette brunette et|sa stupide amie qui ne vont pas.",20,0,0,
10,0,0,,Pourquoi tu regardes fixement|cette fille?,C'est pas ton business.,20,0,0,
10,0,0,,Arrête de la fixer!,Hey!  Me donne pas d'ordre!,20,-1,1,
20,0,0,,T'as l'air en colère.,Et qu'est-ce que ça te fait?,30,0,0,
20,0,0,,Tu as vraiment l'air de|détester cette intello.,Oh que oui!  Elle me gave vraiment.|Un jour j'aurai ma revanche.,30,1,0,
20,0,0,,Tu as clairement le sang|chaud.  J'aime ça.,Yep!  Maintenant préparons nous pour le cours.,40,1,0,
20,0,0,,Tu as vraiment un problème|de comportement.,Tais toi!|(Elle se retourne et t'ignore.),40,-1,0,
20,1,0,,As-tu besoin d'un coup de main pour|s'occuper d'elle?,Oh ouais carrément!  J'ai des cordes|dans mon sac.  On l'attrapera après le cours.,40,1,0,
30,0,0,,Tu as clairement le sang|chaud.  J'aime ça.,Yep!  Maintenant préparons nous pour le cours.,40,1,0,
