Tag,Content
BallGagWilling,(Abre la boca al máximo para que|puedas ponerle la bola y cerrar la mordaza.)
BallGagReluctant,(Cierra la boca pero te las|apañas para poner y cerrar la mordaza .)
BallGagRefuse,Retrocede y se niega a que le amordaces.|(Necesitas 2 ó más de sumisión para amordazar a Amanda.)
CuffsReplaceRope,(le desatas de manera que puede vestirse|pero le pones las esposas inmediatamente.)
CuffsWilling,"(Está de acuerdo, se sienta y muestra|los brazos para ser esposada.)"
CuffsReluctant,(Se resiste pero consigues|reducirle y esposarle.)
CuffsRefuse,Se resiste y se niega a ser esposada.|(Necesitas 2 ó más de sumisión para esposar a Amanda.)
CuffsUnlock,(Abres las esposas|y parece agradecida.)
RopeReplaceCuffs,"(Abres las esposas, se desnuda,|y le haces un fantástico arnés con cuerdas.)"
RopeWilling,"(Asiente y se desnuda, le| haces un arnés con cuerdas mientras tiembla.)"
RopeReluctant,(Luchas para quitarle la ropa|y le atas con las cuerdas mientras se resiste.)
RopeRefuse,Se resiste y rechaza que le ates.|(Necesitas 2 ó más de sumisión para atar a Amanda.)
CropGagged,(Golpeas a Amanda con la fusta varias veces.|Empieza a llorar y parece que no le gusta.)
Crop,(Golpeas a Amanda con la fusta varias veces.)|¡Ay!  ¡Duele!  ¿por qué eres tan mala?
