Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,!BondageBefore,(Te mira pero se queda muy quieta|para no molestar a la profesora.),Amanda.jpg
0,1,0,!BondageBefore,(Susurra) Deberíamos hablar después|de clase. La Señora Mildred está dando clase.,Amanda.jpg
0,0,0,BondageBefore,"(Te mira y susurra)|No pienses en bondage, estamos en clase.",Amanda.jpg
0,1,0,BondageBefore,"(Te mira y susurra)|No más bondage por favor, estamos en clase.",Amanda.jpg
10,0,0,,(Susurra) ¿Quieres algo?,Amanda.jpg
20,0,0,,(Susurra) No parece|que estés disfrutando de la clase.,Amanda.jpg
30,0,0,,(Susurra) ¿Qué estás pensando?,Amanda.jpg
40,0,0,,(Susurra) ¿Quieres raptar a la profesora?|(Necesitas +4 de amor o sumisión para convencerle.),Amanda.jpg
50,0,0,,"(Susurra y se ruboriza.)Te|ayudaré, pero tu atacas primero.",Amanda.jpg
100,0,0,Common_PlayerNotGagged,¡Oh Dios mio!  ¡Es increible!,Amanda.jpg
100,0,0,Common_PlayerGagged,(Se rie por lo bajo mientras te mira.),Amanda.jpg
100,2,0,Common_PlayerGagged,(Te mira y susurra.)|Estás preciosa con esa mordaza.,Amanda.jpg
100,-2,0,Common_PlayerGagged,(Te mira y susurra.)|Creo que te prefiero amordazada.,Amanda.jpg
110,0,0,,(Lloriquea con su mordaza y|mueve la cabeza de izquierda a derecha.),Amanda_BallGag.jpg
120,0,0,,"(Tira de las esposas,|tratando de soltar una mano.)",Amanda_Cuffs.jpg
130,0,0,,(Lloriquea con su mordaza y|mueve la cabeza de izquierda a derecha.),Amanda_Cuffs_BallGag.jpg
140,0,0,,(Frota su piel contra las cuerdas|y parece disfrutar de la sensación.),Amanda_Rope.jpg
150,0,0,,(Lloriquea con su mordaza y|mueve la cabeza de izquierda a derecha.),Amanda_Rope_BallGag.jpg
160,0,0,,,Amanda_Rope.jpg
170,0,0,,,Amanda_Rope_BallGag.jpg
