Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,De acuerdo, genial.  Bienvenida a nuesta institución. |Confío en que aprenderá mucho aquí.,10,0,0,
0,0,0,,Si Miss Mildred.,Muy bien.  Bienvenida a nuesta institución. |Confío en que aprenderá mucho aquí.,10,1,-1,
0,0,0,,(Quédate callada.),"Una chica callada.  Bienvenida a nuesta institución. |Confío en que aprenderá mucho aquí.",10,0,0,
0,0,0,,Eso no es probable.,Debería enseñarte disciplina más que matemáticas.|Confío en que aprenderá mucho aquí.,10,-1,1,
10,0,0,,Espero aprender|mucho Miss Mildred.,"Si sigues las normas de la academia,|llegarás a ser una dama educada.",20,0,-1,
10,0,0,,Por favor. Enséñame.,"Lo haré. Si sigues las normas de la academia,|llegarás a ser una dama educada.",20,0,0,
10,0,0,,Creo que me va|gustar esto.,"Segro que sí,Si sigues las normas de la academia,|llegarás a ser una dama educada.",20,1,0,
10,0,0,,Confío en que su clase|sea provechosa.,"Lo será.  Si sigues las normas de la academia,|llegarás a ser una dama educada.",20,0,1,
10,0,0,,(Bostezas.),"estudiante,si quieres una buena educación,|necesitarás centrarte y seguir las normas.",20,-1,0,
10,0,0,,(Asientes.),"Si sigues las normas de la academia,|llegarás a ser una dama educada.",20,0,-1,
20,0,0,,¿Dama educada?|¿Es una broma?,Yo no bromeo jovencita.  Hoy|estudiaremos derivadas.  Confío en que tengas los libros.,30,-1,1,
20,0,0,,¿Dama educada?|Es genial.,(Te sonrie.)  Hoy|estudiaremos derivadas.  Confío en que tengas los libros.,30,1,0,
20,0,0,,(inclinas la cabeza|y asientes.),(Te sonrie.)  Hoy|estudiaremos derivadas.  Confío en que tengas los libros.,30,0,-1,
30,0,0,,Si Miss Mildred.|Estoy deseando aprender.,Muy ben.  Ahora abre|en la página 147 y revisa las fórmulas.,40,1,-1,
30,0,0,,¿Derivadas?|¡Joder?,(Golpea la mesa con la fusta.)  Cuida|tu lenguaje y abre el libro en la página 147.,40,-1,0,
30,0,0,,¿Derivadas?|Me encantan las mates.,(Golpea la mesa con la fusta.)  Cuida|tu lenguaje y abre el libro en la página 147 147.,40,1,0,
30,0,0,,¿Derivadas?|Son difíciles.,Entonces empieza a trabajar.  Abre|el libro en la página 147 y revisa las fórmulas.,40,0,0,
40,0,0,,(Guarda silencio|y abre el libro.),Bien. Silencio mientras explico.|(Vuelve a su mesa y empieza a explicar.),50,0,0,
40,0,0,,(Miras el reloj|de la pared.),(Te mira con severidad y| vuelve a su mesa para seguir explicando.),50,-1,0,
40,0,0,,Si Miss Mildred.|(Abres el libro.),Muy bien.  Silencio mientras explico.|(Vuelve a su mesa para continuar la lección.),50,0,-1,
40,0,0,,"Vale, basta de charla.|(Abres el libro.)",¡Bien!.  Silencio mientras explico.|(Vuelve a su mesa para continuar la lección.),50,0,1,
100,0,0,,¡Miss Mildred! ¿Qué|estás haciendo?,Enseñarte una lección jovencita.|(Te golpea ligeramente con la fusta.),110,0,0,
100,0,0,,¿Qué coño?,NO voy a tolerar esa clase de lenguage.|(Te pega muy fuerte con la fusta.),110,-1,0,
100,0,0,,¡Hey!  No puedes|hacer eso.,"Claro que puedo, no tienes ni idea de dónde estás.|(Te golpea ligeramente con la fusta.)",110,0,0,
100,0,0,,(Intenta pegarle.),"Así que eres una niña peleona, esto te enseñará.|(Te pega muy fuerte con la fusta.)",110,-1,1,
110,0,0,,¡Mierda!  ¡Eso duele!,¡Menuda bocazas!|(Te pega realmente fuerte.),120,-1,0,
110,0,0,,¡Ay!  Miss Mildred.|Para por favor.,Pararé cuando aprendas la lección.|(Te pega otra vez y sonríe.),120,1,0,
110,0,0,,"(Cállate, y finge|que no te importa.)","Eres dura, pero yo te someteré.|(Te pega muy fuerte otra vez.)",120,0,1,
