Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,Common_PlayerGagged,@Uumph lnug mmph!,"(Se rie.)  No te entiendo.|Soy Sarah, encantada de conocerte.",10,1,0,
0,0,0,Common_PlayerGagged,(Asientes con alegría.),"(Sonríe.) ¡Una sumisa féliz!|Soy Sarah, encantada de conocerte.",10,1,0,
0,0,0,Common_PlayerGagged,(Le lanzas una|mirada furiosa.),No molas.  (Te saca la lengua.),10,-1,0,
10,0,0,Common_PlayerGagged,@Uumph lnug mmph!,(Se rie.)  No te entiendo.,10,0,0,
10,0,0,Common_PlayerGagged,(Asientes con alegría.),"(Sonríe.) ¡Una sumisa féliz!,10,0,0,
10,0,0,Common_PlayerGagged,(Le lanzas una|mirada furiosa.),No molas.  (Te saca la lengua.),10,0,0,
20,0,0,Common_PlayerGagged,@Uumph lnug mmph!,(Se rie.)  No te entiendo.,20,0,0,
20,0,0,Common_PlayerGagged,(Asientes con alegría.),(Sonríe.) ¡Una sumisa féliz!,20,0,0,
20,0,0,Common_PlayerGagged,(Le lanzas una|mirada furiosa.),No molas.  (Te saca la lengua.),20,0,0,
30,0,0,Common_PlayerGagged,@Uumph lnug mmph!,(Se rie.)  No te entiendo..,30,0,0,
30,0,0,Common_PlayerGagged,(Asientes con alegría.),(Sonríe.) ¡Una sumisa féliz!,30,0,0,
30,0,0,Common_PlayerGagged,(Le lanzas una|mirada furiosa.),No molas.  (Te saca la lengua.),30,0,0,
40,0,0,Common_PlayerGagged,@Uumph lnug mmph!,(Se rie.)  No te entiendo..,40,0,0,
40,0,0,Common_PlayerGagged,(Asientes con alegría.),(Sonríe.) ¡Una sumisa féliz!,40,0,0,
40,0,0,Common_PlayerGagged,(Le lanzas una|mirada furiosa.),No molas.  (Te saca la lengua.),40,0,0,
50,0,0,Common_PlayerGagged,@Uumph lnug mmph!,(Se rie.)  No te entiendo..,50,0,0,
50,0,0,Common_PlayerGagged,(Asientes con alegría.),(Sonríe.) ¡Una sumisa féliz!,50,0,0,
50,0,0,Common_PlayerGagged,(Le lanzas una|mirada furiosa.),No molas.  (Te saca la lengua.),50,0,0,
60,0,0,Common_PlayerGagged,@Uumph lnug mmph!,(Se rie.)  No te entiendo..,60,0,0,
60,0,0,Common_PlayerGagged,(Asientes con alegría.),(Sonríe.) ¡Una sumisa féliz!,60,0,0,
60,0,0,Common_PlayerGagged,(Le lanzas una|mirada furiosa.),No molas.  (Te saca la lengua.),60,0,0,
0,0,0,SubdueNotDone,Tendrías que centrarte|más en tu educación.,"¡Lo sé, lo sé, lo sé! |¿Siempre eres tan aburrida?",10,-1,1,
0,0,0,SubdueNotDone,¿Siempre llegas|tarde a case?,"Oh no, Miss Mildred exagera.|Sólo esta mañana... Y la anterior.",10,0,1,
0,0,0,SubdueNotDone,Me sorprende|que puedas sentarte.,"Tonterías, he llegado a estar peor .",10,0,0,
0,0,0,SubdueNotDone,¿Estás bien?|¿Te hizo daño?,"Estaré bien, otras veces fue peor.|Gracias por preguntar. (Te sonríe.)",10,1,0,
10,0,0,SubdueNotDone,¿Cuándo acaba|la clase de mates?,"A las 9,por lo menos|me he librado de la mitad.",20,0,0,
10,0,0,SubdueNotDone,"Esto es aburridísimo, debe-|rías haberte quedado fuera",¡Eso es verdad!  No sé porqué he entrado.,20,1,0,
10,0,0,SubdueNotDone,No puedo con las mates.|¿Me podrías ayudar?,¿Yo?  Ayudar a alguien con|las mates?  Esa sí que es buena.,20,0,-1,
20,0,0,SubdueNotDone,Deberíamos salir.,¿Salir?  Pero si acabo de entrar.|No quiero más problemas con Miss Mildred.,30,0,0,
20,0,0,SubdueNotDone,¿Cómo matis el tiempo?,Piens en la tarde de ayer. (Se ruboriza.)|Miss Mildred es muy aburrida ¿Verdad?,30,0,0,
20,0,0,SubdueNotDone,¿Estás tan aburrida cómo yo?,"Por supuesto, Miss Mildred es una buena|profesora, pero aburridísima.",30,1,0,
20,0,0,SubdueNotDone,Así que no le|gustas a la profe.,¡Ya lo sé!  No me lo recuerdes.|Miss Mildred es muy dura conmigo.,30,-1,0,
30,0,0,SubdueNotDone,¿Quieres|vengarte?,¿Vengarme? ¿De Miss Mildred?|¿Qué has pensado?,40,0,0,
30,0,0,SubdueNotDone,"Traquila,|tengo un plan.",(Se calla y escucha.),40,0,1,
