Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Psssst.,(Se vuelve y susurra)|¿Qué coño quieres?,10,0,0,
0,0,0,,Perdone.,(Se vuelve y te mira fijamente)|¿Qué coño quieres fracasada?,10,0,-1,
0,0,0,,(Le tocas en el hombro.),(Se vuelve y susurra)|¿Qué coño quieres?,10,0,0,
10,0,0,,¿Estás tan aburrida como yo?,(Susurra.) Joder si.|Me muero de aburrimiento.,20,1,0,
10,0,0,,¿Cuánto dura |la clase?,(Susurra.) Hasta las 9.|Esta puta hora nunca se acaba.,20,0,0,
10,0,0,,Huele fatal|¿Te has tirado un pedo?.,(Susurra.) ¡No!  ¿Eres|idiota?  Esta clase no va a acabar nunca.,20,-1,0,
10,0,0,,No te duermas.,"(Se frota los ojos y susurra.)|No es culpa mía, la clase es aburridísima.",20,0,1,
20,0,0,,Deberíamos salir de aquí.,"(Asiente y susurra.)  Claro,|Pero la profe no nos dejará.",30,1,0,
20,0,0,,¿Cómo matamos el tiempo aquí?,(Encoge los hombros.)|No sé.  Estamos atrapadas aquí.,30,0,0,
20,0,0,,¿Puedes ayudareme con|las mates después de clase?,(Niega con la cabeza.)  ¿Te parezco|una friqui?  Sólo quiero salir de aquí.,30,0,-1,
30,0,0,,Tiene que haber|una manera de escapar.,(Te mira con curiosidad.)|¿En qué estás pensando?,40,0,0,
30,0,0,,"¡Calla!, |tengo un plan.",(Se calla y te mira con curiosidad.),40,-1,1,
40,0,0,,Podríamos intentar|someter a Mildred juntas.,"¿Someterle? ¿Un secuestro?|Eso es peligroso, ¿Qué gano yo?",50,0,0,
40,0,0,,Deberíamos secuestrar a|la puta de la profe.,"¿Secuestrarle en clase?  ¿De verdad?|Eso es peligroso, ¿Qué gano yo?",50,1,0,
40,0,0,,Me vas a ayudar|a atar a la profe.,"¿Ayudarte a secuestrarle?|Eso es peligroso, ¿Qué gano yo?",50,0,1,
