Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,Common_PlayerGagged,@Mnaaaeg mmh !,(Elle regarde ton bâillon et rit.),0,0,0,
0,0,0,HasEgg,Comment l'as-tu enlevé ?,"C'était humiliant, j'ai dû me contracter|péniblement pour l'extraire.",0,0,0,
0,0,0,HasEgg,Je peux récupérer l'oeuf ?,"C'est trop tard, je l'ai jeté.",0,0,0,QueryEgg()
0,0,0,HasEgg,"Jen, je veux|récupérer l'oeuf.","C'est trop tard, je l'ai jeté.",0,-1,1,QueryEgg()
0,0,0,,Qu'est-ce que tu fais ici ?,Je lis l'histoire des Jeux Olympiques.,10,0,0,
0,0,0,,Comment vas-tu ?,"Je vais bien merci,|je lis l'histoire des Jeux Olympiques.",10,1,0,
0,0,0,,Cette bibliothèque est|plutôt ennuyeuse.,Je ne suis pas d'accord. J'ai trouvé un livre|intéressant sur l'histoire des Jeux Olympiques.,10,-1,0,
0,0,0,TennisVictory,On pourra rejouer au|tennis plus tard.,Super ! Et je gagnerai cette fois-ci !,0,0,0,
0,0,0,TennisDefeat,On pourra rejouer au|tennis plus tard.,Génial ! Peut-être que tu gagneras cette fois.,0,0,0,
10,0,0,,Les Jeux Olympiques ?|C'est intéressant.,"Effectivement, les Jeux sont aussi très politiques.|Et de ton coté ? Qu'est-ce que tu cherches ?",20,1,0,
10,0,0,!BookAlreadyFound,Je dois trouver un livre.,Oh ? Quel livre cherches-tu ?,20,0,0,
10,0,0,,Qui se soucie des|Jeux Olympiques ?,(Elle fait la moue.) Des millions de gens.|Quoi qu'il en soit. Qu'est-ce que tu cherches ?,20,-1,0,
10,0,0,,Ne te dopes pas|comme les athlètes.,(Elle secoue la tête.) Bien sûr que non.|Et de ton coté ? Qu'est-ce que tu cherches ?,20,0,1,
10,0,0,,Tu seras une|grande olympienne.,C'est très gentil de ta part.|Et de ton coté ? Qu'est-ce que tu cherches ?,20,1,-1,
20,0,0,BookAlreadyFound,J'ai déjà trouvé|mon livre.,D'accord ! Amuse-toi bien.,100,0,0,
20,0,0,,Le comte de Monte Cristo.,"Tu le trouveras sûrement dans la section littérature.|Repart en arrière, va tout droit et tournes à droite.",40,0,0,
20,0,0,,Cinquante nuances|de Grey.,(Elle rit.) J'ai de sérieux doutes que|tu puisses trouver ce livre ici.,30,0,-1,
20,0,0,,Justine du marquis|de Sade.,"Oh là là ! Il devrait être dans la section réservée.|Demande au professeur Yuki, je l'ai vue dans le coin.",30,0,1,
30,0,0,,"J'ai aussi besoin du|""Comte de Monte Cristo.""","Tu le trouveras sûrement dans la section littérature.|Repart en arrière, va tout droit et tournes à droite.",40,0,0,
30,0,0,,Merci Jen !|(Tu t'en vas.),,100,0,0,PlayerLeave()
30,0,0,,(Tu t'en vas.),,100,-1,0,PlayerLeave()
40,0,0,,Merci Jen !|(Tu t'en vas.),,100,0,0,PlayerLeave()
40,0,0,,(Tu t'en vas.),,100,-1,0,PlayerLeave()
100,0,0,,Pourquoi t'es assise|comme ça ?,Qu'est-ce qui ne va pas avec|la façon dont je m'assois ?,110,0,0,
100,0,0,,Tu n'as pas l'air à l'aise.,"Je vais bien, je suis assise confortablement.",110,0,0,
100,0,0,,Je peux m'asseoir|à coté toi ?,"Je suis désolée, je préfère lire seule.",100,0,0,TestSitTogether()
100,0,5,,"Bouge, je veux|m'asseoir ici.","Très bien, tu peux prendre ma place.|(Elle se lève et s'en va.)",190,-1,1,JenniferLeave()
110,0,0,,"Tu devrais te détendre,|utilise tout le canapé.",Je ne peux pas m'allonger sur tout le canapé.|Et si quelqu'un veut s'asseoir ?,120,0,0,
110,0,0,,Tu n'utilises qu'un|tiers du canapé.,Je ne peux pas m'allonger sur tout le canapé.|Et si quelqu'un veut s'asseoir ?,120,0,0,
110,0,0,,Tu as l'air timide et solitaire.|Utilise tout le canapé.,Je ne peux pas m'allonger sur tout le canapé.|Et si quelqu'un veut s'asseoir ?,120,0,0,
110,0,0,,Je peux m'asseoir|à coté toi ?,"Je suis désolée, je préfère lire seule.",110,0,0,TestSitTogether()
110,0,5,,"Bouge, je veux|m'asseoir ici.","Très bien, tu peux prendre ma place.|(Elle se lève et s'en va.)",190,-1,1,JenniferLeave()
120,0,0,,"Essaye de t'allonger,|tu auras l'air moins seule.",Seule ? J'ai l'air si seule ?|(Elle s'allonge sur le canapé.),130,-1,0,NewPose()
120,0,0,,"Allonges-toi,|ce sera moins gênant.",Je ne veux pas avoir l'air gênante.|(Elle s'allonge sur le canapé.),130,0,0,NewPose()
120,0,5,,Allonges-toi jeune fille !,"Oui, Madame COMMON_PLAYERNAME.|(Elle s'allonge sur le canapé.)",130,0,1,NewPose()
120,0,0,,Je peux m'asseoir|à coté toi ?,"Je suis désolée, je préfère lire seule.",120,0,0,TestSitTogether()
120,0,5,,"Bouge, je veux|m'asseoir ici.","Très bien, tu peux prendre ma place.|(Elle se lève et s'en va.)",190,-1,1,JenniferLeave()
130,0,0,,C'est bien mieux|maintenant.,"Vraiment ? Et bien, merci.|Je le prends comme un conseil d'amie.",140,0,0,
130,0,0,,Es-tu à l'aise|à présent ?,"Je suppose que oui, merci.|Je le prends comme un conseil d'amie.",140,1,0,
130,0,0,,Je peux m'asseoir|à coté toi ?,"Je suis désolée, je préfère lire seule.",140,0,0,TestSitTogether()
130,0,5,,"Bouge, je veux|m'asseoir ici.","Très bien, tu peux prendre ma place.|(Elle se lève et s'en va.)",190,-1,1,JenniferLeave()
140,0,0,,Pourquoi t'es|toujours seule ?,Je ne le suis pas ! Je fais partie de plusieurs équipes|sportives. Mais on peut dire je n'ai pas de vrais amies.,150,-1,0,
140,0,0,,Tu n'as pas l'air d'avoir|beaucoup d'amies.,"Et bien, il y a Sidney.... Quand elle a besoin d'argent.|(Elle soupire) On peut dire je n'ai pas de vrais amies.",150,0,0,
140,0,0,,"Tu as l'air seule,|comme moi.","Tu te sens seule aussi ? C'est vrai|que je n'ai pas beaucoup d'amies.",150,1,-1,
