Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
10,0,0,!Common_PlayerRestrained,(Tu fouilles.)|(1 minute),"Tu cherches dans les étagères, mais tu|ne trouves que des livres sur la chimie.",10,0,0,
10,0,0,CanSit,(Tu t'assois.)|(1 minute),Tu t'assieds et te détends sur|le fauteuil un petit moment.,15,0,0,
15,0,0,,(Tu te lèves.)|(1 minute),Tu te lèves du fauteuil.,10,0,0,
30,0,0,!Common_PlayerRestrained,(Tu fouilles.)|(1 minute),Tu cherches dans les rayons mais tout ce que tu peux|trouver sont des livres ennuyeux sur les maths.,30,0,0,
31,0,0,!Common_PlayerRestrained,(Tu fouilles.)|(1 minute),"Tu cherches dans l'impasse du couloir,|mais tu ne trouves rien d'intéressant.",31,0,0,SearchCounter()
32,0,0,!Common_PlayerRestrained,(Tu fouilles.)|(1 minute),Tu cherches dans les rayons et trouves|une bande dessinée cachée entre les livres.,33,0,0,SearchGwendoline()
33,0,0,,(Tu récupères la BD.)|(1 minute),"C'est une vieille BD appelée ""Sweet Gwendoline"".|Elle a été écrite et dessinée par John Willie.",34,0,0,
33,0,0,,(Tu la laisses.),Tu laisses la bande dessinée entre les livres.,32,0,0,
34,0,0,,(Tu ouvres la BD.)|(1 minute),"Tu tournes quelques pages. Ça raconte l'histoire de|Gwendoline, une blonde qui se fait souvent attaché.",35,0,0,
34,0,0,,(Tu le remets en place.),Tu laisses la bande dessinée entre les livres.,32,0,0,
35,0,0,,(Tu en lis davantage.)|(1 minute),"Tu continue la lecture, la demoiselle est|attachée dans d'inéluctables positions.",36,0,0,
35,0,0,,(Tu te masturbes.)|(1 minute),Tu te masturbe silencieusement tout en regardant|la revue et tu ressens un sentiment de chaleur.,35,0,0,Masturbate()
35,0,0,,(Tu le remets en place.),Tu laisses la bande dessinée entre les livres.,32,0,0,
36,0,0,,(Tu en lis davantage.)|(1 minute),"Dans la bande dessinée, il y a un guide|sur la façon de faire du bondage avancé.",37,0,0,
36,0,0,,(Tu te masturbes.)|(1 minute),Tu te masturbe silencieusement tout en regardant|la revue et tu ressens un sentiment de chaleur.,36,0,0,Masturbate()
36,0,0,,(Tu le remets en place.),Tu laisses la bande dessinée entre les livres.,32,0,0,
37,0,0,CanLearnRopeMastery,(Tu étudie la BD.)|(15 minutes),Tu étudies les techniques de bondage à la corde|de la BD et tu as pu apprendre quelques trucs.,37,0,0,LearnRopeMastery()
37,0,0,,(Tu te masturbes.)|(1 minute),Tu te masturbe silencieusement tout en regardant|la revue et tu ressens un sentiment de chaleur.,37,0,0,Masturbate()
37,0,0,,(Tu le remets en place.),Tu laisses la bande dessinée entre les livres.,32,0,0,
40,0,0,!Common_PlayerRestrained,(Tu fouilles.)|(1 minute),Tu cherches dans les rayons et tu|trouves le livre que tu es censée lire.,41,0,0,SetReadProgress()
41,0,0,,(Tu lis le chapitre 1.),"Tu lis le premier chapitre.|""Marseille - L'arrivée""",42,0,0,ReadTime()
42,0,0,,(Tu lis le chapitre 2.),"Tu lis le deuxième chapitre.|""Père et Fils""",43,0,0,ReadTime()
43,0,0,,(Tu lis le chapitre 3.),"Tu lis le troisième chapitre.|""Les Catalans""",44,0,0,ReadTime()
44,0,0,,(Tu lis le chapitre 4.),"Tu lis le quatrième chapitre.|""Complot""",45,0,0,ReadTime()
45,0,0,,(Tu lis le chapitre 5.),"Tu lis le cinquième chapitre : ""Le festin de noces"".|Tu es maintenant prête pour ton prochain cours.",46,0,0,ReadTime()
46,0,0,,(Tu le Relis|encore une fois.),"En tant que bonne étudiante,|tu relis le tout à nouveau.",46,0,0,ReadFull()
50,0,0,!Common_PlayerRestrained,(Tu fouilles.)|(1 minute),Tu fouilles dans les étagères mais tout ce que|tu peux trouver ce sont des livres de philosophie.,50,0,0,
60,0,0,!Common_PlayerRestrained,(Tu fouilles.)|(1 minute),Tu fouilles dans les étagères mais tout ce que|tu peux trouver ce sont des livres d'histoire.,60,0,0,
60,0,0,CanSit,(Tu t'assois.)|(1 minute),Tu t'assieds et te détends sur le grand canapé.|C'est plutôt confortable et il y a de la place pour deux.,65,0,0,
61,0,0,!Common_PlayerRestrained,(Tu fouilles.)|(1 minute),Tu fouilles dans les étagères mais tout ce que|tu peux trouver ce sont des livres d'histoire.,61,0,0,
65,0,0,,(Tu te lèves.)|(1 minute),Tu te lèves du canapé.,60,0,0,
70,0,0,!Common_PlayerRestrained,(Tu fouilles le bureau.)|(1 minute),"Tu fouilles le bureau, mais|tu ne trouves rien d'intéressant.",70,0,0,SearchDesk()
70,0,0,!Common_PlayerRestrained,(Tu fouilles le sac.)|(1 minute),Tu ouvres le sac du professeur Yuki.,71,0,0,
70,0,0,CanCheckYuki,(Tu fouilles Yuki.),,70,0,0,CheckYuki()
71,0,0,CanStealEgg,(Tu voles l'oeuf vibrant.),Tu prends l'oeuf vibrant du sac de Yuki.,71,0,0,StealEgg()
71,0,0,CanStealPill,(Tu voles le somnifère.),Tu prends le somnifère du sac de Yuki.,71,0,0,StealPill()
71,0,0,CanStealArmbinder,(Tu voles le fourreau.),Tu prends le fourreau du sac de Yuki.,71,0,0,StealArmbinder()
71,0,0,CanStealTape,(Tu voles le ruban adhésif.),Tu prends le ruban adhésif du sac de Yuki.,71,0,0,StealTape()
71,0,0,,(Tu ranges le sac.),Tu laisses le sac dans la pièce.,70,0,0,
80,0,0,!Common_PlayerRestrained,(Tu frappes à la porte.),Tu frappes à la porte mais personne ne répond.,80,0,0,
80,0,0,,(Tu tends l'oreille.)|(1 minute),"Tu mets ton oreille contre|la porte, mais tu n'entends rien.",80,0,0,
80,0,0,!Common_PlayerRestrained,(Tu l'ouvres.),"Tu essayes d'ouvrir la porte, mais elle est verrouillée.|Il y a un trou de serrure, tu as besoin de la bonne clé.",80,0,0,UnlockDoor()
80,0,0,!Common_PlayerRestrained,(Tu la forces.)|(1 minute),Tu donnes un coup de pied et tu donnes un coup|d'épaule dans la porte mais elle ne s'ouvre pas.,80,0,0,ForceDoor()
81,0,0,,(Tu l'ouvres.),,81,0,0,OpenDoor()
85,0,0,!Common_PlayerRestrained,(Tu fouilles les livres.)|(1 minute),Tu ne trouve que des livres sur la psychologie.,85,0,0,
85,0,0,!Common_PlayerRestrained,(Tu inspectes le trou.)|(1 minute),"Tu inspectes le petit trou sombre dans l'étagère.|C'est profond, ta main ne peut pas atteindre le bout.",86,0,0,
86,0,0,,(Tu entres dans le trou.)|(1 minute),Tu parviens à peine à te faufiler dans le trou.|Tu es sûre de vouloir essayer d'y entrer ?,87,0,0,NoLeave()
87,0,0,,(Tu t'enfonces à l'intérieur.)|(1 minute),"Tu t'enfonces, mais tu restes coincée à mi-chemin.|C'est vraiment sombre et poussiéreux de l'autre côté.",88,0,0,StuckInHole()
87,0,0,,(Tu sors.)|(1 minute),Tu sors prudemment du trou.,85,0,0,AllowLeave()
87,0,0,!PenInHole,(Tu laisses un stylo.),Tu laisses un stylo dans le trou noir.,87,0,0,LeavePenInHole()
87,0,0,PenInHole,(Tu prends le stylo.),Tu vas chercher ton stylo dans le trou noir.,87,0,0,TakePenInHole()
88,0,0,,(Tu te démènes pour|aller plus loin.),"Tu te démènes pour aller plus loin dans le trou,|mais tu n'arrives pas à t'y glisser d'avantage.",88,0,0,TwoMinutes()
88,0,0,,(Tu te démènes|pour sortir.),"Tu te démènes pour sortir mais|tu n'y parviens pas, tu es coincé.",88,0,0,StruggleBack()
88,0,0,,(Tu donnes des coups|sur les étagères.),"Tu donnes des coups de pied sauvage et maladroit|sur les étagères, mais cela ne t'aide pas beaucoup.",88,0,0,TwoMinutes()
88,0,0,,(Tu attends patiemment.),"Tu attends quelques minutes, mais|personne ne vient te sauver.",88,0,0,TwoMinutes()
88,0,0,,AIDEZ-MOI !!!,"Tu cries à l'aide, mais personne ne vient te sauver.",88,0,0,TwoMinutes()
88,0,0,!PenInHole,(Tu laisses un stylo.),Tu laisses un stylo dans le trou noir.,88,0,0,LeavePenInHole()
88,0,0,PenInHole,(Tu prends le stylo.),Tu vas chercher ton stylo dans le trou noir.,88,0,0,TakePenInHole()
90,0,0,CanClimb,(Tu grimpes.)|(1 minute.),"Tu grimpes sur la structure comme|un singe, mais tu ne trouves rien.",90,0,0,Climb()
90,0,0,!CanClimb,(Tu grimpes.)|(1 minute.),"Tu essayes d'escalader la structure,|mais tu n'y arrives pas et abandonnes.",90,0,0,
100,0,0,!Common_PlayerRestrained,(Tu fouilles.)|(1 minute),"Il y a beaucoup de livres controversés,|mais il ne reste rien de vraiment intéressant.",100,0,0,SearchO()
101,0,0,,(Tu lis le résumé.)|(1 minute),Il semble que ce soit l'histoire d'une|femme qui découvre son côté soumis.,101,0,0,
101,0,0,,(Tu l'ouvres.),"En feuilletant les pages,|tu trouves une carte d'invitation.",102,0,0,
102,0,0,,(Tu lis l'invitation.)|(1 minute),"C'est une carte d'invitation pour un lieu|en ville qui s'appelle : ""Le Bondage Club"".",103,0,0,
103,0,0,,(Tu la prends.),"Tu prends le livre et l'invitation.|Peut-être que ce sera utile.",100,0,0,TakeInvitation()
105,0,0,!Common_PlayerRestrained,(Tu fouilles.)|(1 minute),Tu fouilles dans l'armoire en bois|mais tu ne trouves rien d'intéressant.,105,0,0,SearchCabinet()
106,0,0,!Common_PlayerRestrained,(Tu fouilles.)|(1 minute),"Tu fouilles dans la pièce mais|tu ne trouves rien d'intéressant.",106,0,0,
106,0,0,,(Tu examines la table.),"La table en bois est énorme. Il y a des anneaux|métalliques boulonnés dessus, mais rien d'attaché.",106,0,0,
106,0,0,,(Tu examines les chaises.),"Les chaises ont l'air confortable. Celui à|l'arrière est massif, il y a un ""S"" gravé dessus.",106,0,0,
106,0,0,,(Tu examines la peinture.),C'est la peinture d'un vieil homme sévère|qui semble être le fondateur de l'école.,106,0,0,
