Tag,Content
WarnKidnapper,"(As you grab her Amelia stops you.)|Kidnapping one of them is enough, the other stays here."
StopKidnapper,That's enough.|You can have a taste of your own medicine.
StoppingYou,"Fine, I will.|(She tightens her grip and forces you across the room.)"
ForceTied,Stop trying to argue. It doesn't suit you.|(Amelia forces you to strip and ties you up.)
YouTry,"I'm not trying that again,|but I think she might yield to you now."
WouldYourSisterShake,(She shakes her head.)
WouldYourSisterNod,(She nods her head.)
LucyUnties,Okay. Thanks for letting me practice on you.|(She unties your arms.)
LucyNotTieYou,That's okay.|Let me know when you are ready to try it.
AnnoyedUngag,"I suppose I can remove the gag, but only if you|are nice to me.  (She removes your gag.)"
AnnoyedNoUngag,I prefer you gagged.  The only thing I would remove|it for is to wash your mouth out with soap.
LucyHadEnough,That's it. The only problem is your attitude.  You|can stay like that for all I care.  (She leaves you hanging.)
StayRightThere,"Sorry I'm not into pleasuring girls, but I know someone|who might be.  (She walks off across the room.)"
CassiAppears,"(Lucy comes back with Cassi.)|Hello COMMON_PLAYERNAME, you look adorable like that."
NewGirlAppears,"(Lucy comes back with another girl, who squeals|excitedly.)  Eeeee, she is a cutie.   Hi I'm Cassi."
GagOption,"Let's see how big your mouth is.  Which will it be,|panties or a sock? (Lucy leaves Cassi and you to it.)"
CassiLegTieA,"(As you start wondering whether the pantie was clean,|Cassi frog ties your legs.)"
CassiLegTieB,"(As you start wondering whether the sock was clean,|Cassi frog ties your legs.)"
CassiLegTieC,"(It is too late now, the tape holds the pantie firmly|in your mouth.  Cassi frog ties your legs.)"
CassiLegTieD,"(It is too late now, the tape holds the sock firmly in|your mouth while Cassi frog ties your legs.)"
CassiLegTieE,(The combination of undewaer and tape almost completely|mutes you while Cassi frog ties your legs.)
CassiLegTieF,(You ponder your predicament|while Cassi frog ties your legs.)
CassiCuffed,"No reason we can't both enjoy a bit of bondage.  (Cassi|handcuffs herself, then starts nuzzling your pussy.)"
CassiAnkleHold,(Cassi's firm grip holds your legs apart.)
CassiErratic,"(Cassi's struggling and oral teasing become irregular,|unable to pull her trapped head out.)"
CassiDespirate,(Cassi's struggling becomes more despritare.|She attempts erratically to please you with her tongue.)
CassiColapse,"(Cassi finally pulls free from your suffocating embrace|and colapses on the floor, gasping for breath.)"
CassiFinger,"(While still teasing your clitoris, Cassi plunges a|finger into your virgina and keeps easing it in and out.)"
GruntHelplessSock,"(Cassi keeps on licking steadily,|while you squirm and gag on the sock.)"
FingerInOut,(Cassi keeps teasing your clitorus and starts slowly|sliding her finger in and out of your virgina.)
FingerPressUp,"(Cassi keeps teasing your clitorus, finds your G spot|with her finger and then presses steadily against it"
FingerComeHither,"(Cassi keeps teasing your clitorus and with the finger|in your virgina, starts stroking stroking your G spot.)"
FingerVibrator,"(Cassi keeps teasing your clitorus and plays with the|egg in your virgina, pushing it against your G spot.)"
ChangeToLickUp,(Cassi's changes her teasing to|long steady licks up your clitoris.)
ChangeToCircular,(Cassi's changes her teasing to licking|in circles around your clitoris.)
ChangeToABC,(Cassi's changes her teasing to licking patterns|over you clitoris that feels like alphabet letters.)
ChangeToElectricslide,"(Cassi's changes her teasing to|licking side to side, across you clitoris.)"
ChangeToSuck,(Cassi's changes her teasing to|gently sucking on your clitoris.)
ChangeToCircularFlick,(Cassi's changes her teasing to licking around your|clitoris and regularly flicking it with her tongue.)
ChangeToHardLick,(Cassi's changes her teasing to|broad hard licks up your clitoris.)
ChangeToNibble,(Cassi's changes her teasing to gentley|nibbling on your clitoris with her teeth.)
CassiAnkleGrab,"(Without missing a beat with her tongue, Cassi|grabs your ankles and pulls them away from her.)"
SuspendedOrgasm,"(Bound, suspended and gagging on underwear,|you get a wonderful orgasm in front of the club.)"
CassiHadEnough,(Your orgasm subsides and Cassi stops to look up.)|I think that's enough pleasure for you.
CassiAsks,(Your orgasm subsides and Cassi stops to look up.)|Had enough yet?
RevealLucy,"(She whispers in your ear.)  Don't worry, I really am|Lucy.  If I was Heather you would be in trouble now."
RevealHeather,"(She whispers in your ear.)|By the way, Lucy is still bound and gagged."
ChasteKnot,"Reaching up behind you pulls on the crotch rope.  The|chastity belt spares you, but you can't reach very high."
ChasteStruggle,Your chastity belt spares your pussy the full bite|of the crotch rope as kicking yanks it tighter.
ChasteTug,"You feel the chastity belt push up against your pussy.|It is sort of nice, but hardly stimulating."
AlreadyRolled,"Fine, if that's what you want we can carry on playing."
Sensetive2,"My my, I can't imagen why you endure this pain."
Sensetive3,You know our safe word.  Just say it if|you want me to remove the clamps.
Sensetive4,"You poor thing, I doubt you could last much longer.|Will you submit and let me remove those stupid clamps?"
Masochist2,Are you actually enjoying this torture?|(She increases the pressure on the clamps.)
Masochist3,You are a kinky girl.  This would be a cruel punishment|to anyone else.  (She pulls hard on the clamps)
Masochist4,Submit to my will if you desiere intense pain.
Defiant2,"You are being so brave. Why I cannot guess.|(She give short, sharp tugs on the chain.)"
Defiant3,I would stop so quickly if you would just submit.|(She uses the chain to shake your breasts.)
Defiant4,This is getting boring now.
NewMistress,"Mistress?  I like the sound of that.  Don't go anywhere|for a moment.  (She rushes off, leaving you there.)"
ReadyForNewMistress,Mistress?  I like the sound of that.|I can see that collar and I have just the thing for it.
RemoveClamps,(She removes the clamps and starts untying you.)
CannotPlug,"Damn, that chastity belt is in the way.|Plugging you will have to wait.  (She releases you.)"
AcceptGifts,You must learn to accept gifts from your new mistress.|(She starts pushing the butt plug into your ass.)
Collar,
Crop,
Rope,
Cuffs,
BallGag,
TapeGag,
ClothGag,
VibratingEgg,
Blindfold,
